job_id,source,source_url,posted_at,updated_at,valid_until,facility_no,facility_uid,match_status,match_score,match_method,matched_name,matched_address,matched_phone,facility_name_raw,corp_name_raw,address_raw,phone,license_type,employment_type,work_style,job_title,monthly_base_min,monthly_base_max,monthly_allowance_min,monthly_allowance_max,monthly_total_min,monthly_total_max,annual_bonus_min,annual_bonus_max,fixed_overtime_flag,night_shift_allowance_flag,oncall_allowance_flag,oncall,oncall_monthly_count,oncall_allowance_min,oncall_allowance_max,annual_holidays,weekend_off,direct_visit,beginner_ok,education,visit_cap,commute_station,commute_minutes,recording_time_policy,salary_notes,annual_salary_min,annual_salary_max,business_days,daily_salary_min,daily_salary_max,calculation_formula,calculation_warnings,collected_at,collection_mode,data_usage,review_status,pilot_area,collector_note
real-setagaya-001,世田谷区社会福祉事業団 採用サイト,https://www.setagayaj.or.jp/jobinfo/jobinfo-20230628,2026-01-27,2026-05-13,,,"",unmatched,0,auto_or_manual,,,,訪問看護ステーションさぎそう,社会福祉法人世田谷区社会福祉事業団,東京都世田谷区中町2-25-17,03-5450-8807,看護師,正規職員,日勤,訪問看護師,242017,279387,78300,78300,320317,357687,0,0,false,false,true,true,,60000,60000,,false,false,true,同行訪問・定例研修・外部研修あり,,上野毛駅,6,求人票上確認できない,賞与3.95か月は月額対象額が不明のため年俸計算から除外,3843804,4292244,244,15753,17591,monthly_total*12,賞与月数は確認済みだが賞与対象額が不明,2026-06-04,manual_public_page,analysis_internal,needs_review,世田谷区,公式採用ページから転記。求人票記載条件であり実支給額ではない
real-saitama-001,JOB x WORK,https://job-work.co.jp/offers/item-12598/,2026-01-06,2026-01-06,,,"",unmatched,0,auto_or_manual,,,,訪問看護リベル西大宮,,埼玉県さいたま市西区西遊馬1261-1,,看護師,正社員,日勤,訪問看護師,,,,,270000,413500,0,0,false,false,,true,,,,125,,false,true,同行訪問・面談・体験訪問あり,8,指扇駅,3,iPad記録・事務サポート体制あり,賞与・手当内訳は求人票上確認できない,3240000,4962000,244,13279,20336,monthly_total*12,賞与・手当内訳不明のため月給レンジのみで算出,2026-06-04,manual_public_page,analysis_internal,needs_review,さいたま市西区,第三者求人媒体。媒体利用条件と原求人の確認が必要
real-saitama-002,リハプライム 中途採用,https://recruit.keigo-group.co.jp/ns/02-001-ns01/,,,,"","",unmatched,0,auto_or_manual,,,,コンパス訪問看護大宮西口,リハプライム株式会社,埼玉県さいたま市大宮区桜木町4-702-1 秀宝ビル3F,,看護師,正社員,日勤,訪問看護師,350000,,0,80000,350000,500000,0,0,false,false,true,true,,8000,8000,,true,,true,バディ制度あり,6,大宮駅,14,求人票上確認できない,賞与年1回は業績連動のため年俸計算から除外。モデル月給438000円は基本給350000円+諸手当80000円,4200000,6000000,244,17213,24590,monthly_total*12,賞与額不明・オンコール手当は週1回モデル,2026-06-04,manual_public_page,analysis_internal,needs_review,さいたま市大宮区,公式採用ページから転記。月給上限は求人票の月給レンジを採用
real-yokohama-001,株式会社Terrace 採用情報,https://terrace-group.net/entry/,,,,"","",unmatched,0,auto_or_manual,,,,テラス横浜訪問看護ステーション,株式会社Terrace,横浜市内,,看護師,正社員,日勤,看護師（訪問看護）,,,,,350000,350000,0,0,false,false,,,"",,,,,"",false,,true,研修制度あり,,,"",求人票上確認できない,月給35万円以上。上限・賞与・手当内訳は求人票上確認できない,4200000,4200000,244,17213,17213,monthly_total*12,上限不明のため下限同額で仮置き。所在地詳細・雇用形態は要確認,2026-06-04,manual_public_page,analysis_internal,needs_review,横浜市,公式採用ページから転記。詳細住所と上限給与は追加確認が必要
real-funabashi-001,Indeed,https://jp.indeed.com/viewjob?jk=a55d2b43c5aeb8bd,,,,"","",unmatched,0,auto_or_manual,,,,いーね訪問看護ステーション ふなばし,e-ne株式会社,千葉県船橋市三山7-17-1,,看護師,正社員,日勤常勤,訪問看護師,,,"100000","105000",320000,450000,0,0,true,false,,,"",,,,120,,false,true,訪問看護未経験歓迎,,"京成大久保駅","",求人票上確認できない,月給に職務手当15000円・資格手当30000円・地域手当10000円・固定残業手当45000円から50000円を含む,3840000,5400000,244,15738,22131,monthly_total*12,賞与有無・賞与額はこの取得範囲では未確認。固定残業代を含む,2026-06-04,manual_public_page,analysis_internal,needs_review,船橋市,第三者求人媒体。原求人または法人採用ページ確認が必要
